證券代碼	簡稱	年月日	日報酬率 %
COID	Name	MDATE	ROIA
2809   	京城銀       	19910430	   2.8302
1102   	亞泥         	19910501	   0.6623
1434   	福懋         	19910501	  -1.6000
1605   	華新         	19910501	   1.8519
2303   	聯電         	19910501	  -2.7083
2603   	長榮         	19910501	  -6.4220
2809   	京城銀       	19910501	   0.9174
1102   	亞泥         	19910502	   0.0000
1434   	福懋         	19910502	  -0.4065
1605   	華新         	19910502	   1.8182
2303   	聯電         	19910502	   0.0000
2603   	長榮         	19910502	   0.0000
2809   	京城銀       	19910502	   0.0000
1102   	亞泥         	19910503	  -1.3158
1434   	福懋         	19910503	   0.8163
1605   	華新         	19910503	   3.5714
2303   	聯電         	19910503	   3.8544
2603   	長榮         	19910503	   0.9804
2809   	京城銀       	19910503	   6.3636
1102   	亞泥         	19910504	   1.3333
1434   	福懋         	19910504	   1.2146
1605   	華新         	19910504	   0.0000
2303   	聯電         	19910504	   4.1237
2603   	長榮         	19910504	   3.8835
2809   	京城銀       	19910504	   0.0000
1102   	亞泥         	19910506	   5.2632
1434   	福懋         	19910506	   3.0000
1605   	華新         	19910506	   4.3103
2303   	聯電         	19910506	   5.9406
2603   	長榮         	19910506	   4.6729
2809   	京城銀       	19910506	   6.8376
1102   	亞泥         	19910507	  -0.6250
1434   	福懋         	19910507	   1.9417
1605   	華新         	19910507	  -2.4793
2303   	聯電         	19910507	   0.9346
2603   	長榮         	19910507	  -2.6786
2809   	京城銀       	19910507	   1.6000
1102   	亞泥         	19910508	  -1.2579
1434   	福懋         	19910508	  -4.7619
1605   	華新         	19910508	  -1.6949
2303   	聯電         	19910508	  -2.7778
2603   	長榮         	19910508	  -2.7523
2809   	京城銀       	19910508	  -0.3937
1102   	亞泥         	19910509	   1.2739
1434   	福懋         	19910509	   3.0000
1605   	華新         	19910509	   0.0000
2303   	聯電         	19910509	   1.9048
2603   	長榮         	19910509	   0.0000
2809   	京城銀       	19910509	   3.5573
1102   	亞泥         	19910510	   0.6289
1434   	福懋         	19910510	   0.0000
1605   	華新         	19910510	   2.5862
2303   	聯電         	19910510	   0.9346
2603   	長榮         	19910510	  -1.8868
2809   	京城銀       	19910510	   1.1450
1102   	亞泥         	19910511	  -1.8750
1434   	福懋         	19910511	   0.9709
1605   	華新         	19910511	  -2.5210
2303   	聯電         	19910511	   6.4815
2603   	長榮         	19910511	   2.8846
2809   	京城銀       	19910511	  -1.5094
1102   	亞泥         	19910513	   0.0000
1434   	福懋         	19910513	  -1.9231
1605   	華新         	19910513	   0.8621
2303   	聯電         	19910513	  -0.8696
2603   	長榮         	19910513	  -3.7383
2809   	京城銀       	19910513	  -0.3831
1102   	亞泥         	19910514	  -1.9108
1434   	福懋         	19910514	   0.0000
1605   	華新         	19910514	   0.0000
2303   	聯電         	19910514	   0.0000
2603   	長榮         	19910514	   0.0000
2809   	京城銀       	19910514	   0.7692
1102   	亞泥         	19910515	  -4.5455
1434   	福懋         	19910515	  -6.8627
1605   	華新         	19910515	  -6.8376
2303   	聯電         	19910515	  -6.1404
2603   	長榮         	19910515	  -6.9903
2809   	京城銀       	19910515	  -6.8702
1102   	亞泥         	19910516	   0.6803
1434   	福懋         	19910516	   2.1505
1605   	華新         	19910516	  -0.9174
2303   	聯電         	19910516	  -0.9346
2603   	長榮         	19910516	   0.2088
2809   	京城銀       	19910516	   4.5082
1102   	亞泥         	19910517	   2.7027
1434   	福懋         	19910517	   2.3158
1605   	華新         	19910517	   3.7037
2303   	聯電         	19910517	   6.6038
2603   	長榮         	19910517	   5.2083
2809   	京城銀       	19910517	   4.3137
1102   	亞泥         	19910518	  -1.3158
1434   	福懋         	19910518	  -0.8230
1605   	華新         	19910518	  -5.3571
2303   	聯電         	19910518	   1.7699
2603   	長榮         	19910518	  -3.9604
2809   	京城銀       	19910518	   2.6316
1102   	亞泥         	19910520	   0.0000
1434   	福懋         	19910520	   0.2075
1605   	華新         	19910520	   2.8302
2303   	聯電         	19910520	   1.7391
2603   	長榮         	19910520	   4.1237
2809   	京城銀       	19910520	   2.1978
1102   	亞泥         	19910521	   1.3333
1434   	福懋         	19910521	  -1.0352
1605   	華新         	19910521	  -0.9174
2303   	聯電         	19910521	   0.0000
2603   	長榮         	19910521	   2.9703
2809   	京城銀       	19910521	  -1.4337
1102   	亞泥         	19910522	   1.3158
1434   	福懋         	19910522	   1.4644
1605   	華新         	19910522	   0.9259
2303   	聯電         	19910522	   0.8547
2603   	長榮         	19910522	  -1.9231
2809   	京城銀       	19910522	   0.7273
1102   	亞泥         	19910523	  -0.6494
1434   	福懋         	19910523	   0.4124
1605   	華新         	19910523	  -0.9174
2303   	聯電         	19910523	   0.0000
